time,gyro_roll,inter_time,inter_gyro_roll
39.52,-3.89,5.99,4.43E+02
39.62,13.32,6,4.43E+02
39.62,13.32,6.01,4.44E+02
39.72,8.62,6.02,4.45E+02
39.82,-1.02,6.03,4.46E+02
,,6.05,4.48E+02
,,6.06,4.49E+02
,,6.07,4.50E+02
,,6.08,4.51E+02
,,6.09,4.51E+02
,,6.1,4.51E+02
,,6.11,4.51E+02
,,6.12,4.51E+02
,,6.13,4.51E+02
,,6.14,4.51E+02
,,6.15,4.51E+02
,,6.16,4.51E+02
,,6.17,4.51E+02
,,6.18,4.51E+02
,,6.19,4.28E+02
,,6.2,4.28E+02
,,6.21,4.28E+02
,,6.22,4.28E+02
,,6.23,4.28E+02
,,6.24,4.28E+02
,,6.25,4.28E+02
,,6.26,4.28E+02
,,6.27,4.28E+02
,,6.28,3.86E+02
,,6.29,3.28E+02
,,6.3,2.98E+02
,,6.31,2.71E+02
,,6.32,2.46E+02
,,6.33,2.24E+02
,,6.34,2.04E+02
,,6.35,1.86E+02
,,6.36,1.70E+02
,,6.37,1.55E+02
,,6.38,1.43E+02
,,6.39,1.31E+02
,,6.4,1.21E+02
,,6.41,1.10E+02
,,6.42,99.94385611
,,6.43,90.34322231
,,6.44,81.56974159
,,6.45,73.86028154
,,6.46,67.45170976
,,6.47,62.58089385
,,6.48,59.48470139
,,6.49,58.4
,,6.5,58.4
,,6.51,56.40995763
,,6.52,50.86670355
,,6.53,42.41054733
,,6.54,31.68179851
,,6.55,19.32076666
,,6.56,5.967761326
,,6.57,-7.736907933
,,6.58,-21.15293156
,,6.59,-33.64
,,6.6,-47.14305501
,,6.61,-63.38123754
,,6.62,-81.37553686
,,6.63,-1.00E+02
,,6.64,-1.19E+02
,,6.65,-1.36E+02
,,6.66,-1.51E+02
,,6.67,-1.63E+02
,,6.68,-1.71E+02
,,6.69,-1.74E+02
,,6.7,-1.73E+02
,,6.71,-1.69E+02
,,6.72,-1.63E+02
,,6.73,-1.56E+02
,,6.74,-1.48E+02
,,6.75,-1.40E+02
,,6.76,-1.33E+02
,,6.77,-1.27E+02
,,6.78,-1.23E+02
,,6.79,-1.21E+02
,,6.8,-1.21E+02
,,6.81,-1.21E+02
,,6.82,-1.21E+02
,,6.83,-1.20E+02
,,6.84,-1.18E+02
,,6.85,-1.15E+02
,,6.86,-1.12E+02
,,6.87,-1.09E+02
,,6.88,-1.06E+02
,,6.89,-1.05E+02
,,6.9,-1.06E+02
,,6.91,-1.07E+02
,,6.92,-1.09E+02
,,6.93,-1.12E+02
,,6.94,-1.15E+02
,,6.95,-1.18E+02
,,6.96,-1.21E+02
,,6.97,-1.25E+02
,,6.98,-1.28E+02
,,6.99,-1.31E+02
,,7,-1.35E+02
,,7.01,-1.39E+02
,,7.02,-1.43E+02
,,7.03,-1.48E+02
,,7.04,-1.53E+02
,,7.05,-1.57E+02
,,7.06,-1.61E+02
,,7.07,-1.64E+02
,,7.08,-1.66E+02
,,7.09,-1.67E+02
,,7.1,-1.67E+02
,,7.11,-1.67E+02
,,7.12,-1.67E+02
,,7.13,-1.67E+02
,,7.14,-1.67E+02
,,7.15,-1.74E+02
,,7.16,-1.92E+02
,,7.17,-2.13E+02
,,7.18,-2.31E+02
,,7.19,-2.38E+02
,,7.2,-2.38E+02
,,7.21,-2.38E+02
,,7.22,-2.38E+02
,,7.23,-2.38E+02
,,7.24,-2.38E+02
,,7.25,-2.38E+02
,,7.26,-2.38E+02
,,7.27,-2.57E+02
,,7.28,-2.93E+02
,,7.29,-3.12E+02
,,7.3,-3.11E+02
,,7.31,-3.09E+02
,,7.32,-3.05E+02
,,7.33,-3.00E+02
,,7.34,-2.95E+02
,,7.35,-2.90E+02
,,7.36,-2.86E+02
,,7.37,-2.82E+02
